symbol,shortName,sector,industry,marketCap,Market_Cap_B,trailingEps,forwardEps,trailingPE,forwardPE,priceToBook,ROE_%,ROA_%,debtToEquity,Dividend_Yield_%,beta,52W_High,52W_Low
RCCC,Utama Radar Cahaya Tbk.,Industrials,Trucking,165375000576.0,165.375000576,,,,,3.2894738,7.611999999999999,11.627,96.89,,,420.0,91.0
RDTX,Roda Vivatex Tbk,Real Estate,Real Estate Services,3319679942656.0,3319.679942656,1306.63,,9.451796,,1.0234435,11.2629995,6.622999999999999,,347.0,,15500.0,11050.0
REAL,Repower Asia Indonesia Tbk.,Real Estate,Real Estate - Diversified,451085500416.0,451.085500416,0.128,,531.25,,1.2023269,6.671,3.898,,24.0,0.476,116.0,7.0
RELF,Graha Mitra Asia Tbk.,Real Estate,Real Estate - Development,246296772608.0,246.296772608,,,,,1.0222762,5.069,2.702,14.753,94.0,-0.522,84.0,16.0
RELI,Reliance Sekuritas Indonesia Tb,Financial Services,Capital Markets,1133999947776.0,1133.999947776,11.646,,54.09583,,1.8294382,0.603,0.466,4.862,450.0,-0.533,1100.0,354.0
RGAS,Kian Santang Muliatama Tbk.,Energy,Oil & Gas Equipment & Services,144464166912.0,144.464166912,,,,,1.5705062,3.9809997999999998,6.308999999999999,6.286,,-2.098,153.0,90.0
RICY,Ricky Putra Globalindo Tbk,Consumer Cyclical,Apparel Manufacturing,39786483712.0,39.786483712,-337.05,,,,-0.16347235,,-6.644,,,,96.0,32.0
RIGS,Rig Tenders Indonesia Tbk.,Industrials,Marine Shipping,475121385472.0,475.121385472,148.67,,5.246519,,0.54645455,10.988000000000001,6.512999999999999,0.058,,0.449,1200.0,570.0
RISE,Jaya Sukses Makmur Sentosa Tbk.,Real Estate,Real Estate - Development,135718005374976.0,135718.005374976,4.87,,2546.2012,,63.607357,2.467,1.3639999999999999,22.447,,1.467,15100.0,965.0
RIMO,"RIMO.JK,0P0000BRSP,0",,,2202480148480.0,2202.48014848,,,18.248175,,0.40448493,,,,,,50.0,50.0
RMBA,,,,,,,,,,,,,,,,,
RMKE,RMK Energy Tbk.,Energy,Thermal Coal,12643750379520.0,12643.75037952,51.98,,55.59831,,6.867985,13.544999999999998,7.9990000000000006,29.515,12.0,0.78,2960.0,486.0
RMKO,Royaltama Mulia Kontraktorindo ,Energy,Thermal Coal,267499995136.0,267.499995136,,,,,1.5175582,-29.015,-6.679,65.766,,3.291,262.0,86.0
ROCK,Rockfields Properti Indonesia T,Real Estate,Real Estate Services,724768522240.0,724.76852224,-12.64,,,,0.8868782,1.239,1.608,8.524,,0.198,1050.0,228.0
RODA,Pikko Land Development Tbk.,Real Estate,Real Estate - Development,625237884928.0,625.237884928,-4.46,,,,0.32597527,-2.86,-0.475,50.969,,0.024,60.0,28.0
RONY,Aracord Nusantara Group Tbk.,Industrials,Engineering & Construction,5174999908352.0,5174.999908352,1.24,,3338.7097,,1043.8729,3.0869998,-11.109000400000001,,,0.699,5000.0,400.0
ROTI,Nippon Indosari Corpindo Tbk.,Consumer Defensive,Packaged Foods,4503052484608.0,4503.052484608,44.2,71.38,18.099546,11.207622,2.333729,12.1920004,5.795,46.462,999.0,0.011,1000.0,780.0
RSCH,Charlie Hospital Semarang Tbk.,Healthcare,Medical Care Facilities,1001699934208.0,1001.699934208,,,,,7.5851827,-12.885,-3.853,105.735,,0.039,490.0,234.0
RSGK,Kedoya Adyaraya Tbk.,Healthcare,Medical Care Facilities,911081537536.0,911.081537536,42.73,,22.934706,,1.1036869,4.218999999999999,3.2279997999999996,2.542,,0.172,1395.0,940.0
RUIS,Radiant Utama Interinsco Tbk,Energy,Oil & Gas Equipment & Services,157079994368.0,157.079994368,19.74,,10.334347,,0.27761522,2.6970001,3.7289999999999996,89.73,,-0.685,298.0,132.0
RUNS,Global Sukses Solusi Tbk.,Technology,Software - Application,95144329216.0,95.144329216,-12.858,,,,1.5553346,,,16.481,,0.3,146.0,44.0
SAFE,Steady Safe Tbk,Industrials,Railroads,225010843648.0,225.010843648,28.75,,9.530435,,8.330294,161.599,15.174999999999999,308.109,,0.897,460.0,149.0
SAGE,Saptausaha Gemilangindah Tbk.,Real Estate,Real Estate - Development,241005821952.0,241.005821952,-0.53,,,,0.8368201,-1.095,-0.47299997,8.163,,-0.708,52.0,10.0
SAMF,Saraswanti Anugerah Makmur Tbk.,Basic Materials,Agricultural Inputs,3239000145920.0,3239.00014592,25.94,,12.181958,,2.1594584,18.310000000000002,8.154,51.848,601.0,0.489,570.0,282.0
SAME,Sarana Meditama Metropolitan Tb,Healthcare,Medical Care Facilities,5524194066432.0,5524.194066432,2.81,,114.59075,,1.4475228,1.367,1.439,27.194,,0.546,406.0,236.0
SAPX,Satria Antaran Prima Tbk.,Industrials,Integrated Freight & Logistics,251666661376.0,251.666661376,1.12,,269.64285,,1.2503364,0.488,1.8800000000000001,82.421,,0.755,3480.0,250.0
SATU,Kota Satu Properti Tbk.,Real Estate,Real Estate - Development,346500005888.0,346.500005888,-13.127,,,,7.6165147,-16.093999,-1.2349999999999999,286.719,,-0.402,280.0,170.0
SBAT,Sejahtera Bintang Abadi Textile,Consumer Cyclical,Textile Manufacturing,4752982528.0,4.752982528,-11.374,,,,0.03221857,-39.722002,-3.2489999999999997,229.112,,0.14,1.0,1.0
SBMA,Surya Biru Murni Acetylene Tbk.,Basic Materials,Chemicals,120890417152.0,120.890417152,11.816,,11.002031,,0.5155804,5.96,4.226,11.539,308.0,-0.466,155.0,104.0
